purchase_id,customer_id,purchase_date,purchase_value,channel,region,payment_method,campaign_group
1931,CUST0264,07/23/2026,100.66,Online ,South,PayPal,
811,CUST0117,2022-10-15,84.72,In-Store,South,Credit Card,
2763,CUST0374,2021-10-14,142.32,In-Store,North,Credit Card,
3246,CUST0436,03/11/2026,196.99,In-Store,North,Cash,B
736,CUST0110,2024-03-07,113.56,Online,NORTH,PayPal,
1781,CUST0236,12/08/2024,91.8,IN-STORE,North,Debit Card,
1688,CUST0225,2025/09/17,,Online,North,PayPal,
241,CUST0037,2023-05-13,164.79,online,east,Debit Card,
1854,CUST0246,2021/01/18,91.9,Online,North,PayPal,
2031,CUST0277,2025-05-06,197.45, Online,South,Credit Card,
1735,CUST0228,01-01-2022,159.19,online,west,PayPal,
2423,CUST0334,2024-11-19,154.34,Online,South,Debit Card,
695,CUST0106,10-09-2024,133.98,In-Store,South,Debit Card,
1987,CUST0274,06 Jun 2021,88.32,IN-STORE,East,PayPal,
66,CUST0008,05/30/2021,121.63,Online,East,Debit Card,
2126,CUST0290,28-09-2022,138.98,Online,East,Credit Card,
638,CUST0097,2024/01/28,120.54,In-Store,North,Credit Card,
1480,CUST0199,04/20/2025,139.72,In-Store,East,Debit Card,
3568,CUST0477,2026/05/11,132.1,Online,West,Debit Card,
201,CUST0030,17-04-2023,163.21, Online,SOUTH,Debit Card,
2549,CUST0351,20 Feb 2026,136.29,In-Store,East,PayPal,A
931,CUST0133,2022-06-06,121.96,Online,North,Cash,
200,CUST0030,06/04/2023,118.84,ONLINE,South,Debit Card,
1481,CUST0199,2024/12/17,127.21,Online, East,Debit Card,
2667,CUST0364,05-04-2022,108.85,In-Store,South,Credit Card,
238,CUST0037,02/23/2026,124.43,In-Store,East,PayPal,B
2717,CUST0368,unknown,123.95,In-Store,East,Debit Card,
236,CUST0037,05 Jun 2026,131.13,Online,East,Debit Card,
366,CUST0057,09-09-2024,136.51,in-store,South,Credit Card,
2803,CUST0378,09-10-2025,98.41,Online, East,Debit Card,
778,CUST0113,2024-02-01,86.56,In-Store,South,Credit Card,
1740,CUST0229,2026-04-09,unknown,ONLINE,South,Cash,A
3090,CUST0414,27-04-2024,110.67,Instore,East,Debit Card,
2666,CUST0363,11/14/2025,161.57,in-store,East,Debit Card,
2368,CUST0326,09/26/2025,164.54,In-Store,west,Debit Card,
396,CUST0063,09 Mar 2025,144.93,Instore,SOUTH,PayPal,
2660,CUST0362,2025/07/21,158.34,Online,South,Credit Card,
2760,CUST0373,2026-05-01,109.49,,North,Cash,
370,CUST0057,2025-12-30,156.92,Instore,south,Credit Card,
3377,CUST0451,2026/04/09,139.58,In-Store,North,Credit Card,B
2463,CUST0338,2021-06-24,98.1,Online,North,Debit Card,
82,CUST0010,2025/11/29,115.06,In-Store,South,Credit Card,
163,CUST0026,23 Dec 2025,135.86,In-Store,North,PayPal,
15,CUST0003,02-04-2026,144.04,Instore,West,Debit Card,B
3591,CUST0479,2022/04/17,152.56,Online,East,Credit Card,
2426,CUST0334,2024/02/29,39.87,in-store,South,Debit Card,
2299,CUST0317,31 May 2026,89.13,In-Store,south,PayPal,
347,CUST0055,07/16/2022,108.08,Online,South,Cash,
1559,CUST0209,02-06-2024,134.45,Online,east,PayPal,
2345,CUST0323,11 Oct 2021,79.97,Online,North,Debit Card,
1043,CUST0149,2025-11-03,195.74,Online,South,Credit Card,
2623,CUST0359,07/29/2026,17.01,In-Store,West,Debit Card,
1616,CUST0218,2024/06/15,-146.08,Online ,North,PayPal,
75,CUST0010,28-04-2022,93.89,In-Store,South,Credit Card,
2631,CUST0360,2024-12-24,104.83,in-store,South,PayPal,
2765,CUST0374,02/04/2023,83.16,Online, North,Debit Card,
79,CUST0010,19-08-2022,108.1,In-Store,south,PayPal,
3028,CUST0406,2021/05/30,93.03,Online,North,PayPal,
2637,CUST0361,27-01-2025,142.28,online,WEST ,Credit Card,
175,CUST0027,2024/10/09,108.45,In-Store, East,PayPal,
29,CUST0005,05-07-2025,185.11,Online,West,Debit Card,
2980,CUST0398,2023/10/16,106.86,In-Store,East,Debit Card,
2280,CUST0314,21-03-2026,152.21,Online,East,Credit Card,
1751,CUST0231,2025/09/14,85.11,In-Store,East,Credit Card,
1977,CUST0271,2025/08/10,114.01,In-Store,North,Credit Card,
1451,CUST0195,2025/10/30,199.31,Online,WEST ,Debit Card,
1189,CUST0167,01 Aug 2026,132.87,In-Store,North,Cash,
1720,CUST0227,07/28/2024,130.13,In-Store,North,Credit Card,
3582,CUST0478,09/21/2023,142.63,In-Store,East,Debit Card,
2936,CUST0392,2023-04-25,74.15,IN-STORE,south,Credit Card,
571,CUST0092,2024-11-21,135.02,Online,West,Debit Card,
1754,CUST0232,2026-07-12,163.52, In-Store,West,Credit Card,
2811,CUST0380,01/11/2026,118.39,in-store,South,Cash,
839,CUST0122,2026-03-30,178.89, In-Store,north,PayPal,A
421,CUST0066,01-04-2025,$137.58,Online,South,PayPal,
1173,CUST0165,01-04-2025,137.73,in-store,south,Debit Card,
2867,CUST0386,13 Feb 2023,115.43,Online,East,Credit Card,
2404,CUST0332,02 Dec 2024,105.6,in-store,North,Debit Card,
3313,CUST0442,28 Dec 2022,-92.64,Online,south,Credit Card,
2978,CUST0398,11/23/2022,101.88,in-store,east,PayPal,
3064,CUST0411,26 Sep 2023,142.57,online,North,Debit Card,
1151,CUST0161,2023/05/10,76.42,In-Store,East,Debit Card,
2589,CUST0355,20 Oct 2025,127.88,Online,East,Credit Card,
2366,CUST0326,2026-04-12,95.76,IN-STORE,WEST ,Credit Card,A
165,CUST0027,06-05-2026,170.0,Online,East,PayPal,
2286,CUST0315,08/21/2021,98.01, Online,North,Debit Card,
2139,CUST0293,28 Dec 2024,163.68,online,North,Credit Card,
1397,CUST0187,2023-10-03,121.65,in-store,East,Debit Card,
2880,CUST0387,2025-11-27,128.26,In-Store,South,Credit Card,
1121,CUST0159,08/21/2022,70.78,In-Store,North,Debit Card,
1736,CUST0228,23-10-2025,148.36,in-store,West,Credit Card,
3602,CUST0479,2024/09/16,75.3,In-Store,East,Credit Card,
509,CUST0082,21 Jul 2025,100.82,In-Store, East,Credit Card,
354,CUST0056,04 Jan 2025,98.3, In-Store,South,Debit Card,
1070,CUST0151,24 Sep 2022,103.47,Online,East,Credit Card,
1763,CUST0234,2024/11/04,135.45,Online ,North,Cash,
3544,CUST0473,05-02-2025,153.26,In-Store,North,PayPal,
1445,CUST0195 ,10-04-2024,177.08,online,West,PayPal,
2324,CUST0322,09-10-2023,166.41,Online,West,Debit Card,
792,CUST0115,20-02-2024,99.42,In-Store,West,Debit Card,
190,CUST0030,14 May 2023,134.39,In-Store,south,Credit Card,
2544,CUST0349,2023/07/13,150.06,Instore,South,Credit Card,
2288,CUST0315,2020-12-03,$97.31,Online,North,Credit Card,
1988,CUST0274,2024-06-16,161.76, In-Store,East,Credit Card,
471,CUST0076,15 Apr 2025,167.52,Instore,south,Credit Card,
3222,CUST0431 ,2025/05/28,136.09,Online,north,Cash,
565,CUST0089,15-02-2025,148.98,In-Store,North,Credit Card,
2146,CUST0293,05 Mar 2022,121.06, In-Store,North,Credit Card,
1512,CUST0203,2026-03-23,110.68,IN-STORE,West,Credit Card,A
2156,CUST0296,09-01-2023,74.88,IN-STORE,west,Credit Card,
3166,CUST0424,2024-10-31,132.08,Online,West,Credit Card,
2016,CUST0276,2021-01-31,109.89,in-store,West,,
1834,CUST0241,2025-01-21,88.63,In-Store,West,Debit Card,
3416,CUST0456,23-12-2025,119.85,Online,WEST ,Credit Card,
126,CUST0019,12/09/2020,116.44,In-Store,south,Credit Card,
3107,CUST0416,2021-05-14,37.85, Online,North,Credit Card,
2576,CUST0353,24 Sep 2023,170.83,Online,West,Debit Card,
2381,CUST0328,09 Dec 2025,$124.47,In-Store,East,Credit Card,
1695,CUST0226,2022/12/25,132.68,In-Store,north,Debit Card,
538,CUST0085,2020/05/11,76.48,Online,West,Credit Card,
2116,CUST0290,01 Jul 2023,120.85,Online,East,Debit Card,
2358,CUST0324,08/02/2023,,,South,Credit Card,
345,CUST0055,2021-12-19,77.96,Online ,South,PayPal,
401,CUST0065,12/09/2020,74.8,,East,Cash,
2700,CUST0366,31-10-2021,94.21,Online,west,Credit Card,
1853,CUST0246,07/30/2026,93.02,Online,North,Credit Card,
989,CUST0142,07/16/2025,122.02,ONLINE,south,PayPal,
1974,CUST0270,2022/10/07,7.23,In-Store,West,Credit Card,
941,CUST0134,2023/04/06,78.11,Online, East,Credit Card,
196,CUST0030,2024/08/14,121.32,ONLINE,south,Cash,
3518,cust0469,10-07-2025,102.08,online,South,Debit Card,
1326,CUST0182,2023/09/15,104.96,Instore,South,PayPal,
882, CUST0130,2020/05/16,3760.41,Online,North,Debit Card,
3220,CUST0431,02-02-2026,195.46,Online ,North,Cash,A
2793,CUST0377,unknown,80.81, In-Store,East,Credit Card,
264,CUST0041,19 Jun 2025,166.09,Online,West,PayPal,
3331,CUST0444,2022-03-30,105.34,In-Store,East,PayPal,
805,CUST0117,08 Oct 2023,92.97,Online,South,Credit Card,
3577,CUST0478,09/28/2025,143.07,Instore,East,Cash,
830,CUST0121,03/16/2026,127.89,Online,North,Credit Card,A
2074,CUST0283,03-08-2024,83.56,Instore,North,Debit Card,
1046,CUST0149,2024/06/25,134.78,In-Store,south,Credit Card,
2480,CUST0340,03/15/2026,105.53,Online,East,Debit Card,B
3411,CUST0454,09/24/2023,144.03,In-Store,North,Cash,
670,CUST0102,25 Apr 2022,124.96,In-Store,West,Debit Card,
3350,CUST0444,2022/01/09,83.18, In-Store,East,Debit Card,
244,CUST0037,13 Aug 2025,142.12,Online,east,Cash,
2730,CUST0368,23 Oct 2021,99.79,Online, East,Debit Card,
2294,CUST0316,11/22/2025,93.0,In-Store,South,Credit Card,
3199,CUST0429,30 Aug 2024,149.14,In-Store,South,Debit Card,
2844,CUST0384,05 Nov 2024,74.85,in-store,West,Cash,
2773,CUST0374,31-05-2024,145.48,In-Store,North,Credit Card,
3395,CUST0454,08/09/2020,60.41,Online,North,Debit Card,
3032,CUST0406,20-04-2024,168.3,In-Store,North,Debit Card,
2418,CUST0333,12/13/2022,155.8,in-store,east,Credit Card,
2874,CUST0386,2023-07-11,71.44,Online,East,Credit Card,
3144,CUST0421,2025/06/28,123.28,Online,East,Debit Card,
1377,CUST0186,08/22/2025,106.27,online,North,Credit Card,
1945,CUST0266,07 Dec 2025,205.18,Online,East,Debit Card,
2801,CUST0378,2025-11-01,127.18,Instore,,Credit Card,
3009,CUST0405,10/13/2025,215.57,In-Store,South,Debit Card,
1877,CUST0252,12/24/2023,86.06,IN-STORE,West,Debit Card,
758,CUST0111,10-02-2025,132.74,online,North,Debit Card,
1947,CUST0266,2025-02-28,unknown,Online,East,Credit Card,
853,CUST0126,02/09/2026,125.19,Online, East,Credit Card,
1906,CUST0256,2025/04/21,123.92,IN-STORE, North,Cash,
557,CUST0088,2022-03-01,147.93,ONLINE,West,PayPal,
3303,CUST0441,07/05/2021,61.41,Online,East,Credit Card,
1457,CUST0196,03/22/2023,111.86,In-Store,South,Debit Card,
998,CUST0144,05/13/2020,64.49,Online ,SOUTH,Debit Card,
2804,CUST0378,2024-08-24,121.13,Online,East,Cash,
1095,CUST0155,16-05-2024,18.4,Online,West,Credit Card,
391,CUST0062,09 Jul 2025,135.46,In-Store,South,Debit Card,
3273,CUST0439,03/09/2025,117.52,Online ,North,Credit Card,
22,CUST0004,07 Sep 2022,108.72,ONLINE,North,Credit Card,
2947,CUST0394,2023-11-02,94.23,IN-STORE,North,Debit Card,
2882,CUST0387,09/21/2021,33.59,In-Store,South,Credit Card,
3307,CUST0441,2023/03/06,186.97,Online,East,PayPal,
1956,CUST0268,05/30/2025,92.35,Online,east,Debit Card,
1026,CUST0147,2024-03-25,161.47,ONLINE,East,Cash,
1777,cust0235,08/21/2024,177.41,Online,North,PayPal,
1733,CUST0228,06 Nov 2023,108.39,IN-STORE,West,Credit Card,
2617,CUST0358,2022/11/12,122.32,Online ,North,Cash,
654,CUST0099,08/10/2023,65.59,In-Store,North,Cash,
3301,CUST0441,27 Dec 2024,99.05,Online,East,Credit Card,
3228,CUST0431,02/01/2024,78.15,ONLINE, North,PayPal,
171,CUST0027,29 Jun 2026,$124.34,Online,east,Credit Card,
1767,CUST0234,11/06/2025,148.75,Online,,Debit Card,
61,CUST0008,11-06-2023,110.95,Online,East,Credit Card,
186,CUST0029,2024/01/18,193.0,Online,East,Credit Card,
247,CUST0037,09 Nov 2021,39.38,In-Store,east,,
1344,CUST0183,2021-03-26,128.32,In-Store,,Credit Card,
2179,CUST0298,05/15/2023,149.81, In-Store, East,Credit Card,
2182,CUST0298,2021/03/07,100.72,Online,East,Cash,
1009,CUST0146,29-05-2023,109.19,In-Store,South,Cash,
2835,CUST0382,01/21/2023,$83.69,Online,South,Debit Card,
1535,CUST0206,2025/05/06,123.59,ONLINE,North,Debit Card,
1426,CUST0191,17 Jul 2024,110.76,In-Store,west,PayPal,
1213,CUST0171,2024-10-12,117.57,Online,North,PayPal,
1920,CUST0259,09/06/2023,-52.73,In-Store,South,PayPal,
178,CUST0028,05/28/2026,107.99,In-Store,East,Cash,
280,CUST0045,25 Feb 2026,166.26,online,West,Credit Card,A
978,CUST0140,25-05-2026,126.25,In-Store,East,Debit Card,
1303,CUST0179,19-08-2021,61.71,in-store,West,Credit Card,
2416,CUST0333,27 Dec 2021,106.63,In-Store,East,Credit Card,
312,CUST0049,2026-01-20,107.18,Instore,West,Credit Card,
2934,CUST0392,2022-05-04,66.22,online,SOUTH,Credit Card,
2654,CUST0362,2026-05-19,,In-Store,South,Debit Card,
858,CUST0126,14-01-2023,119.45,Online,East,Credit Card,
44,CUST0007,2021/04/06,132.6,Online,North,Cash,
2184,CUST0298,2025-03-05,146.51,Online,East,Credit Card,
2348,CUST0324,2025-08-25,,In-Store,South,Credit Card,
3039,CUST0407,2025-03-28,123.22,In-Store,north,Credit Card,
448,CUST0072,04/03/2024,98.41,In-Store,East,Credit Card,
2679,CUST0365,08 May 2021,117.24,In-Store,South,,
1783,CUST0236,05/15/2026,137.35,In-Store,North,Credit Card,
2685,CUST0365,12/30/2021,47.7,In-Store,SOUTH,Credit Card,
2569,CUST0353,2024/08/07,155.51,In-Store,West,Cash,
1924,CUST0261,03/25/2025,90.48,ONLINE,East,Credit Card,
1342,CUST0183,21-02-2022,103.32,In-Store,West,,
1114,CUST0158,06/08/2026,144.26,In-Store, East,Credit Card,
453,CUST0074,23-07-2025,128.89,Online,South,Cash,
279,CUST0045,26 Mar 2025,100.78,Online,West,PayPal,
2,CUST0001,14 Jul 2022,71.45, Online,North,Credit Card,
358,CUST0056,21 Dec 2023,141.53,In-Store,South,Debit Card,
377,CUST0060,04/12/2026,162.62,Online,South,PayPal,
1995,CUST0274,01/29/2026,153.3,In-Store,East,Debit Card,
612,CUST0095,06/21/2026,176.52,online,SOUTH,PayPal,
252,CUST0038,01 May 2026,179.71,in-store,South,Cash,
2778,CUST0375,04/02/2021,150.25,In-Store,South,Credit Card,
3159,CUST0423,2023-07-24,148.97,Online, North,PayPal,
2208,CUST0304,01/20/2026,184.61,Online,East,Credit Card,
3042,CUST0408,2021-12-24,90.9,Online,South,Credit Card,
2828,CUST0382,2026/05/14,171.61,Online,South,PayPal,
1389,CUST0186,07/10/2025,131.51,Online,North,Debit Card,
2129,CUST0291,19 Sep 2022,121.09,Online ,,Debit Card,
1862,CUST0250,08 Aug 2025,184.28,In-Store,,Debit Card,
522,CUST0084,05/08/2022,140.69,In-Store,East,PayPal,
1606,CUST0216,07/14/2026,137.59,In-Store,SOUTH,Debit Card,
949,CUST0135,2022-05-16,111.22,Online,North,Credit Card,
542,CUST0085,2026-06-19,181.72,Online,west,Credit Card,
752,CUST0111,2023/06/22,124.09,Online,North,Debit Card,
729,CUST0109,22 Sep 2024,162.26, Online,East,PayPal,
371,CUST0057,03/10/2022,94.97,In-Store,South,Cash,
1562,CUST0209,2025/05/26,196.97,Online,East,Debit Card,
953,CUST0135,27-06-2022,46.69,Online,North,Cash,
761,CUST0111,11 Oct 2022,143.77,Online,North,Debit Card,
3138,CUST0420,2023-10-07,114.32,In-Store,South,Credit Card,
485,CUST0078 ,2022/04/02,126.59,Online,East,Credit Card,
2729,CUST0368,12/23/2025,96.78,In-Store,East,PayPal,
660,CUST0100,03/14/2026,140.77,Online,South,,
3288,CUST0440,23-03-2026,77.05,In-Store,NORTH,Debit Card,B
2555,CUST0352,2025-10-09,111.49,Instore,east,Debit Card,
3010,CUST0405,2023-10-18,98.86,online,South,Cash,
922,CUST0132,20 Jul 2022,135.17,In-Store,South,Credit Card,
983,CUST0141,01/29/2026,70.11,Online,WEST ,Credit Card,
996,CUST0144,04-05-2021,95.53,In-Store,South,Credit Card,
2449,CUST0337,03 Jul 2026,146.12,In-Store,South,Credit Card,
3124,CUST0418,10-07-2026,162.81,Online,South,Credit Card,
1712,CUST0227,2025-03-24,137.42,Online,North,Credit Card,
1666, CUST0222,2025/06/27,181.49,In-Store,North,Debit Card,
1422,CUST0191,2025-06-08,96.18,In-Store,West,PayPal,
13,CUST0003,13-04-2026,132.43,In-Store,West,Credit Card,A
1386,CUST0186,03/14/2023,164.24,Online,North,Debit Card,
3165,cust0424,02 Dec 2022,103.29,Online,WEST ,PayPal,
2254,CUST0311,2026-03-27,186.62,Online ,West,Credit Card,B
1632,CUST0219,2024-09-03,39.21,In-Store,East,Debit Card,
449,CUST0072,2025/07/05,93.74,In-Store,East,Debit Card,
1233,CUST0172,2026/03/05,$179.56,Online,South,PayPal,B
2484,CUST0341,2025/06/14,141.2,In-Store,North,Debit Card,
1732,CUST0228,30-04-2023,87.82,In-Store,West,PayPal,
678,CUST0104,2025/04/12,120.75,Online,South,Credit Card,
2026,CUST0276,27 Apr 2024,92.34,In-Store,West,Credit Card,
1880,CUST0252,2025-03-25,unknown,In-Store,West,Debit Card,
3276,CUST0439,2024-05-29,,IN-STORE,North,Debit Card,
608,CUST0095,2025-10-18,77.65,In-Store,South,Credit Card,
3444,CUST0460,17-02-2026,155.55,In-Store,East,Debit Card,B
1240,CUST0173,2022/03/16,142.7,Online,North,Credit Card,
2247,CUST0310,07-12-2023,108.04,In-Store,North,PayPal,
270,CUST0043,09-12-2025,140.68,Online,South,PayPal,
1654,CUST0221,2024/02/08,89.25, In-Store, East,Credit Card,
780,CUST0114,01/24/2026,161.16,In-Store,East,Debit Card,
2862,CUST0385,2025-09-21,132.04,Online,West,PayPal,
1008,CUST0146,10-10-2024,93.39,In-Store,south,Credit Card,
2038,CUST0278,2022-02-12,86.36,IN-STORE,North,Debit Card,
2986,CUST0400,07/17/2026,156.52,ONLINE,North,PayPal,
1768,CUST0234,2025/05/01,209.66,Online,North,Debit Card,
834,CUST0121,30-06-2025,125.96,Online,North,Cash,
1962,CUST0268,01-04-2025,151.77,In-Store, East,Credit Card,
2584,CUST0354,08/04/2023,156.47,In-Store,East,Credit Card,
2203,CUST0303,2022-08-31,-133.2,Online,South,Cash,
822, CUST0118,07/11/2026,179.86,Online,North,Cash,
3077,CUST0413,2022-06-07,147.5,In-Store,South,Debit Card,
2457,CUST0338,09-12-2022,unknown,Online,North,Cash,
3384,CUST0453,15-03-2024,108.3,In-Store,East,Debit Card,
3180,CUST0426,11 Feb 2026,206.71,In-Store,North,Debit Card,A
98,CUST0014,25 Feb 2025,39.28,In-Store,North,Credit Card,
1975,CUST0270,08/25/2025,$149.01, Online,West,PayPal,
2774,CUST0375,11 Mar 2023,105.83,Online,South,Debit Card,
867, CUST0128,28-08-2024,141.12,online,east,Credit Card,
2736,CUST0368,13 Oct 2021,22.51, Online, East,Debit Card,
926,CUST0133,03/12/2024,95.95,Online,North,Credit Card,
2852,CUST0384,13-07-2024,129.16,In-Store,West,Debit Card,
40,CUST0007,15 Jun 2020,,in-store,North,Credit Card,
3112,CUST0416,13 Nov 2025,128.02,IN-STORE,North,Credit Card,
2837,CUST0382,08/13/2020,131.18,Online,South,Debit Card,
1710,CUST0227,2025-03-29,109.33,In-Store,North,Credit Card,
3184,CUST0426,17 Jun 2024,84.38,Online,North,Cash,
2786,CUST0376,03/20/2026,73.61,In-Store,West,Credit Card,A
1672,CUST0223,01/01/2024,81.43,In-Store,east,Credit Card,
2466,CUST0338,2026/06/29,120.46,In-Store,North,Credit Card,
641,CUST0098,17 May 2021,112.1,In-Store,East,Credit Card,
2530,CUST0348,10 Sep 2023,61.84,In-Store,West,Debit Card,
2172,CUST0297,06 Oct 2021,119.11,Online,North,PayPal,
1149, CUST0161,2025-04-14,2251.4, In-Store,East,Debit Card,
676,CUST0104,10/07/2024,$122.13,Online,South,Debit Card,
1717,CUST0227,25 Jan 2025,173.61,online,North,Debit Card,
2002,CUST0275,2026-03-25,122.67,In-Store,North,Cash,
1174,CUST0165,2022/08/23,82.58,Online,South,PayPal,
1471,CUST0198,2021/10/22,43.37,In-Store,West,Debit Card,
1849,CUST0246 ,2026-07-19,143.59, Online,North,Credit Card,
1893,CUST0253,11-01-2024,207.71,Online,SOUTH,Debit Card,
3057,CUST0410,2024-05-07,93.61,online,east,Credit Card,
1238,CUST0173,27-06-2023,147.86,Online,North,Debit Card,
2380,CUST0327,10/31/2025,102.6,In-Store,North,Debit Card,
56,CUST0008,2024/02/18,147.87,Online,East,Debit Card,
1495,CUST0200,2024-06-21,112.37,In-Store,East,Cash,
217,CUST0034,2025-11-29,113.65,Online,East,Debit Card,
1236,CUST0173,09/21/2023,193.81,ONLINE,North,Credit Card,
624,CUST0096,2026-02-21,148.62,In-Store,West,Debit Card,B
3190,CUST0428,05 Sep 2025,110.82,ONLINE,west,Credit Card,
1821,CUST0239,2025-08-06,94.89,Online,West,Debit Card,
3335,CUST0444,2021/12/22,unknown,Online,East,PayPal,
2568,CUST0353,03 Feb 2022,84.12,Online,West,Credit Card,
321,CUST0052,2023/01/12,202.05,In-Store,NORTH,Credit Card,
1115,CUST0158,05-10-2025,$83.55,In-Store,East,PayPal,
259,CUST0040,2026/01/02,136.81,ONLINE,West,Credit Card,
2557,CUST0352,13 May 2023,55.61,In-Store,East,Credit Card,
2058,CUST0280,09/04/2023,103.1,In-Store,West,PayPal,
2875,CUST0386,21-03-2025,128.13,Online, East,Debit Card,
602,CUST0095,2026-04-18,171.29,Online,south,Debit Card,B
332,CUST0053,07-10-2024,203.42,IN-STORE,North,PayPal,
1748,CUST0230,10/29/2024,154.76,Online,North,Credit Card,
168,CUST0027,21-10-2024,92.95,online,East,Debit Card,
2261,CUST0312,2024-12-22,21.53,Online,west,Debit Card,
3357,CUST0445,18 Jan 2026,85.29,In-Store,West,Credit Card,
3155,CUST0423,02/14/2024,127.97,Online,north,,
2087,CUST0287,10/11/2023,111.29,In-Store,West,PayPal,
3006,CUST0404,2024-07-04,90.83,Online,North,Credit Card,
963, CUST0136,22-05-2022,147.98,In-Store,North,Credit Card,
1475,CUST0198,2024-01-16,45.19,Instore,West,Credit Card,
184,CUST0029,2022/10/17,134.08,Online ,East,Credit Card,
973,CUST0138,01-08-2024,133.27,Online,south,Debit Card,
981,CUST0140,2026/06/06,65.75,IN-STORE,East,Debit Card,
3233,CUST0432,2025/04/01,119.42,In-Store,West,Credit Card,
1963,CUST0268,2024-07-08,112.2,In-Store,East,Debit Card,
414,CUST0066,29 Feb 2024,150.68, Online,South,Cash,
2385,CUST0330,28-03-2026,123.26,Online,NORTH,Credit Card,B
3500,CUST0466,2024/10/02,105.25,Online ,North,PayPal,
3532,CUST0472,2021-12-17,96.11,Online, East,Debit Card,
2918,CUST0390,09/12/2025,101.73,Online,North,Debit Card,
3020,CUST0406,2024-10-18,-153.57,,North,Credit Card,
357,CUST0056,26 Nov 2021,42.62,In-Store,South,Credit Card,
405,CUST0065,08/02/2026,154.76,In-Store, East,Debit Card,
2984,CUST0399,22 Jul 2025,179.11,Online ,East,Credit Card,
3034,CUST0407,2025/09/29,$111.49,IN-STORE,North,Credit Card,
802,CUST0116,2024/11/04,132.61,In-Store,South,PayPal,
2153,CUST0294,2022/01/26,83.09,In-Store,East,Debit Card,
1393, CUST0187,26 Nov 2022,139.45,Online,East,Debit Card,
1831,CUST0240,2020/07/07,37.74, Online,North,PayPal,
1157,CUST0162,2024-12-11,5.0, In-Store,East,Cash,
3100,CUST0415,02-01-2026,143.49,Online,East,Credit Card,
3105,CUST0416,21 Mar 2026,125.24,Online, North,Credit Card,B
2394,CUST0332 ,31-01-2022,68.03,IN-STORE,North,Debit Card,
433,CUST0069,2025-07-17,161.44,In-Store,East,Credit Card,
1325,CUST0181,28 Jul 2022,159.68,Online,West,PayPal,
1330,CUST0182,2026/06/02,159.35,In-Store,South,Credit Card,
